vine	year	px2_cm2	vine_year	species	from_tip	from_base	count	tip_vine	base_vine	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21
1583	2015	80353.17	1583x2015	Vitis_acerifolia	1	14	14	1x1583	14x1583	7766	1153.667	7749.666	1122.333	7711	1134.667	7673.333	1123.667	7804.666	1126	7785.666	1144	7775.333	1114.667	7822.25	1010	7814.75	1034	7791.75	1016	7706.666	903.667	7709.833	917.333	7680.666	918.333	8048	1167.25	8122.25	894.25	8050.75	958.75	8079.166	753	7943.833	408.333	7821	778.75	7793.333	518.333	7454.75	232.25
1583	2015	80353.17	1583x2015	Vitis_acerifolia	2	13	14	2x1583	13x1583	7756.666	2529.333	7756.333	2492	7724.666	2500	7692	2517	7848	2441.25	7831.25	2461.5	7824.5	2440.25	7796.833	2317.5	7792.5	2340.667	7775.375	2327.375	7630	2225.333	7644.333	2252.5	7611.666	2251.167	8171.333	2455.833	8154.166	2078.167	8059.833	2180.5	8073.5	1958.667	7670	1730	7736	1929.667	7620.666	1793.833	7559.5	1447.5
1583	2015	80353.17	1583x2015	Vitis_acerifolia	3	12	14	3x1583	12x1583	7353.667	4542.333	7353.667	4504.667	7312.667	4497	7272.333	4502	7509	4496.5	7474	4521.5	7473.5	4488	7520	4262.667	7513.333	4277.333	7494	4264	7263.75	4152.5	7266	4168	7238.25	4166.25	7941.5	4682.25	8096.5	4091	7917.25	4171.25	8050	3830.5	7730.333	3303	7510	3653	7450	3449.333	6755	3276.667
1583	2015	80353.17	1583x2015	Vitis_acerifolia	4	11	14	4x1583	11x1583	7405	6570.667	7367.667	6560.667	7404	6503.333	7414.667	6454.333	7257.5	6739	7289	6717.75	7258.25	6708.25	6977.25	6587.75	7004.75	6592.25	6994.75	6568.75	7011	6206.75	7025	6224.25	7044	6197.333	7202.667	7411.333	6372.75	7214.75	6518.75	7076.25	6106.75	6950	5649.667	6361	6252.333	6185.333	6028.25	5861.25	6473.25	4889.75
1583	2015	80353.17	1583x2015	Vitis_acerifolia	5	10	14	5x1583	10x1583	7156.5	9958	7147	9876.5	7096	9923	7073.5	9970	7325.75	9659.25	7310	9692	7286.25	9663.5	7069	9400.667	7085.25	9420.25	7049.667	9431.333	6588.5	9545.75	6619.75	9562.5	6590.5	9582.5	8119	9206.333	7605	8486	7476	8695.667	7177.25	8205.75	6216.833	7994.333	6350.667	8740.667	5739.5	8593.5	4936	9136.333
1583	2015	80353.17	1583x2015	Vitis_acerifolia	6	9	14	6x1583	9x1583	3664.333	3281.667	3665.333	3234.333	3720.333	3230	3766.333	3261.667	3372.333	3152	3390	3167.333	3399.333	3135.667	3532.333	2665	3528.333	2693.333	3557.333	2682.333	4090	2552.667	4068	2584	4101.667	2582.333	2312.5	3235.5	2387.333	1962.333	2673	2067.75	2710.667	1509	3584.333	776.167	3952.667	1440	4442	1060	5588.5	1175
1583	2015	80353.17	1583x2015	Vitis_acerifolia	7	8	14	7x1583	8x1583	2030.5	5908.5	2071	5877.5	2109	5904	2124.5	5948	1916.5	5606	1912	5635.5	1947.5	5628.5	2338.667	5341.333	2323.667	5360	2351.333	5367.333	2871.333	5579.667	2842.5	5594.5	2871.667	5623.667	933	4979.667	1815.667	3779	1993.667	4145.333	2359.333	3751.333	3534.333	3800	3465	4522.5	3821	4414.75	4840	4671.333
1583	2015	80353.17	1583x2015	Vitis_acerifolia	8	7	14	8x1583	7x1583	1555	10107.5	1648.5	10126	1583	10053	1548	9990.5	1722.667	10415.667	1701	10392	1731.667	10386.667	2192.75	10314	2168.5	10312	2181.5	10284	2452.333	9680	2429	9690.667	2426.333	9658.667	1400.667	11651	2693	11671.667	2635.667	11366.667	3196.333	11374.667	4242.25	10349.75	3216	9998	3865.333	9840.333	4522	9191.5
1583	2015	80353.17	1583x2015	Vitis_acerifolia	9	6	14	9x1583	6x1583	6489.666	3047.667	6522.333	2950.333	6443	2977	6398.333	3016.333	6867.666	2834	6838.333	2859.667	6831	2826.333	6734	2316.25	6734.25	2339.5	6702.5	2330.25	5901.333	2233.667	5923.333	2250.333	5889.667	2272.333	7927.666	3336.667	8196	1845.5	7796.5	1864	7770	1163.5	6448	216.333	6247.5	1650	5651	688	4171	1090
1583	2015	80353.17	1583x2015	Vitis_acerifolia	10	5	14	10x1583	5x1583	6329.333	8069.333	6269	8040.5	6293.5	7989.5	6340	7965.5	6026.667	8229.333	6063.333	8218.667	6036.333	8197.333	5576.5	7821.25	5600.5	7833.5	5602.75	7800.25	5649.333	7039.333	5658	7057	5690.667	7032.333	5399	9386.333	4799.667	8811	4753.667	8380.667	4193	8050	3796	6797	4897	6976.5	4475	6378	4775	5279.333
1583	2015	80353.17	1583x2015	Vitis_acerifolia	11	4	14	11x1583	4x1583	2362	3876	2386.667	3788.667	2320	3826	2271.333	3855.333	2651.5	3697	2625.5	3723	2612.5	3688	2597.333	3104	2595	3131.333	2564.667	3116.333	1838.333	2937.333	1855	2958	1827.333	2961.333	3773.5	3859.5	3773	2529.667	3450	2631.5	3360	2015.5	2319.5	1394.5	2189	2476	1989	1765.667	933.333	1610.333
1583	2015	80353.17	1583x2015	Vitis_acerifolia	12	3	14	12x1583	3x1583	2023.333	7763.667	1941	7733.667	2024	7707.667	2062.333	7676	1719.75	7846	1740.5	7848.5	1732.75	7818.5	1449.667	7385.333	1456	7401.667	1475.667	7384.333	1663.667	6810	1675	6838.667	1696.333	6812.667	1062.5	8453	519.667	7761	735.75	7576	403.667	7250.667	390.667	6394.667	1071	6599.667	939.333	6043	1250.667	5576.667
1583	2015	80353.17	1583x2015	Vitis_acerifolia	13	2	14	13x1583	2x1583	2664	10441.667	2643.333	10404.667	2687	10388	2730	10387	2536.667	10442.333	2565.667	10449	2555.75	10421.75	2404.25	10082.25	2410.5	10098.75	2426.25	10085	2686.25	9785	2686	9795.25	2698.5	9789.875	1771.5	10601	1750	9945.333	1906	9957.667	1882.333	9671	2073	9367.333	2427.333	9671	2449	9310	2599.75	9091
1583	2015	80353.17	1583x2015	Vitis_acerifolia	14	1	14	14x1583	1x1583	5740.667	11105	5748.667	11083.33	5723.667	11063.33	5695.667	11062.67	5806.5	11109	5777.25	11110.5	5791	11094.25	5867.5	10908.75	5863.25	10923.5	5851	10913	5668.75	10668.25	5674.25	10676.5	5655.333	10681.83	6256.25	11230	6299.75	10821	6218.75	10806.75	6212.333	10598.33	5994.667	10424.33	5808.5	10613	5710	10407.67	5625.333	10411
171	2015	80353.17	171x2015	Vitis_cinerea	1	18	18	1x171	18x171	7298	1196.333	7282	1180.333	7302	1161.667	7327.333	1133.667	7229	1234	7246	1227	7231.5	1216	7196	1143.333	7208.667	1152.333	7210.667	1135	7233.333	1033	7238.667	1043.333	7260.667	1028	7126	1381.5	6856.667	1262.667	6966	1240.667	6891.75	1126.75	6734.333	893	6923	907.667	6886.333	852.333	6805	228.667
171	2015	80353.17	171x2015	Vitis_cinerea	2	17	18	2x171	17x171	6888.667	2525.333	6861.667	2509	6877.667	2486.667	6911	2456.667	6799	2593.333	6815.333	2588	6801	2570	6733.5	2484.667	6747.833	2489.667	6747.167	2468.667	6745.75	2312	6757	2328.5	6777.75	2303.25	6671	2911.667	6308.667	2725.667	6410.75	2678.75	6320.333	2626	6014.5	2229	6278.5	2193	6203.667	2122	6403	1190
171	2015	80353.17	171x2015	Vitis_cinerea	3	16	18	3x171	16x171	7090	4365.333	7018.333	4369.333	7080	4329	7108.667	4290	6921.25	4482	6942	4472.75	6924	4461.5	6800	4320.25	6816.5	4328.75	6817.5	4306.25	6867.25	4026.75	6879.25	4052	6901	4029.75	6820.5	4770	6290	4741.667	6353.333	4632.667	6140.25	4508	5738.5	3905	6062.25	3914.25	5992.667	3750.667	5819.75	2610.75
171	2015	80353.17	171x2015	Vitis_cinerea	4	15	18	4x171	15x171	6986.5	6638.5	6958	6613.5	6958.5	6575.5	6990	6541.667	6865	6757.333	6894.333	6743	6870.333	6727.333	6735.25	6550.75	6749.25	6565.5	6768.75	6537.5	6652	6124.25	6662.75	6144	6686.5	6122.667	6636.5	7350	6031	6975.75	6129.5	6915	5877.5	6692.25	5331.5	6004.5	5872	5894	5806.333	5804.333	5594	4758
171	2015	80353.17	171x2015	Vitis_cinerea	5	14	18	5x171	14x171	6677	9879	6592.333	9884.333	6668.333	9829.667	6710.333	9792.333	6549.667	9980.333	6574.667	9965.667	6549.333	9950	6255.667	9885.667	6290	9891.333	6278	9859.334	6483.25	9537.75	6494.5	9566.5	6531.25	9538.25	6233.333	10842.333	5419	10467.333	5487.667	10369.333	5214	10192	4622	9259.333	5105.833	9251.667	5143	8983.333	5026.5	7463
171	2015	80353.17	171x2015	Vitis_cinerea	6	13	18	6x171	13x171	3584.333	4103.667	3599	4030.5	3537.5	4046	3478.5	4085	3842	4015	3810.5	4032.5	3806.5	3993	3801.25	3544	3795.25	3572.75	3765.5	3555.75	3308	3686.5	3327.25	3707.5	3275.5	3730.75	5240.5	4440	5335.333	2867.333	5135	2888	4990.333	2399	3954.333	1310.667	3742	1502	3335	1302.333	806.75	708.25
171	2015	80353.17	171x2015	Vitis_cinerea	7	12	18	7x171	12x171	3081.5	8608.5	3028	8621.5	3036.333	8564	3096.333	8518.333	3033.333	8909	3047.333	8871.333	3008	8878	2599	8712	2636	8712.25	2618.667	8683	2645.333	8149	2668	8172.333	2703.667	8117	3234	10217	1740.333	10189	1783.667	10048.333	1182.75	9799	203	8363.667	476	8164.667	348.333	7760.667	672	5392
171	2015	80353.17	171x2015	Vitis_cinerea	8	11	18	8x171	11x171	7298	1196.333	7282	1180.333	7302	1161.667	7327.333	1133.667	7229	1234	7246	1227	7231.5	1216	7196	1143.333	7208.667	1152.333	7210.667	1135	7233.333	1033	7238.667	1043.333	7260.667	1028	7126	1381.5	6856.667	1262.667	6966	1240.667	6891.75	1126.75	6734.333	893	6923	907.667	6886.333	852.333	6805	228.667
