date	order	month	day	year	avg_air_temp_F	max_air_temp_F	min_air_temp_F	total_precip_IN	leaf_wetness_hours	rh_hrs_at_least_90_percent	avg_wind_speed_mph	solar_rad_langleys	cumulative_precip
7_1_2012	1	7	1	2012	75.5	83.2	68.7	0	0	0	NaN	NaN	0
7_2_2012	2	7	2	2012	72.8	82.7	63.7	0	0	1	NaN	NaN	0
7_3_2012	3	7	3	2012	74.9	87.1	63.2	0	4	1	NaN	NaN	0
7_4_2012	4	7	4	2012	80.4	90.5	68.1	0	2	0	NaN	NaN	0
7_5_2012	5	7	5	2012	73.9	82.3	61.9	0	2	1	NaN	NaN	0
7_6_2012	6	7	6	2012	77.2	91.5	61.9	0	1	0	NaN	NaN	0
7_7_2012	7	7	7	2012	73.2	78.6	67.6	0.23	9	7	NaN	NaN	0.23
7_8_2012	8	7	8	2012	72.4	80.5	63.4	0	1	9	NaN	NaN	0.23
7_9_2012	9	7	9	2012	69.8	77.9	61	0	3	7	NaN	NaN	0.23
7_10_2012	10	7	10	2012	69.9	81.6	58.1	0	2	1	NaN	NaN	0.23
7_11_2012	11	7	11	2012	70.6	85.6	53.9	0	0	0	NaN	NaN	0.23
7_12_2012	12	7	12	2012	75.1	89.5	58.9	0	0	0	NaN	NaN	0.23
7_13_2012	13	7	13	2012	75.7	90.4	62.7	0	1	1	NaN	NaN	0.23
7_14_2012	14	7	14	2012	78.8	89.7	68.4	0	0	0	NaN	NaN	0.23
7_15_2012	15	7	15	2012	74.6	82	70.6	0.35	7	6	NaN	NaN	0.58
7_16_2012	16	7	16	2012	77.7	85.2	68.9	0	0	7	NaN	NaN	0.58
7_17_2012	17	7	17	2012	84.5	92.7	73.9	0	0	0	NaN	NaN	0.58
7_18_2012	18	7	18	2012	75.7	81.7	66.3	0	1	6	NaN	NaN	0.58
7_19_2012	19	7	19	2012	68	77.3	60.9	0	11	11	NaN	NaN	0.58
7_20_2012	20	7	20	2012	64.3	67.7	59.6	0.12	8	8	NaN	NaN	0.7
7_21_2012	21	7	21	2012	70	80.7	59.7	0	3	10	NaN	NaN	0.7
7_22_2012	22	7	22	2012	74.7	85.2	63.5	0	0	3	NaN	NaN	0.7
7_23_2012	23	7	23	2012	80.6	91.6	69.7	0.16	3	7	NaN	NaN	0.86
7_24_2012	24	7	24	2012	76.7	82.7	66.5	0	1	0	NaN	NaN	0.86
7_25_2012	25	7	25	2012	71	82	60.8	0	1	0	NaN	NaN	0.86
7_26_2012	26	7	26	2012	71.8	79.9	63.5	1.05	9	15	NaN	NaN	1.91
7_27_2012	27	7	27	2012	71.6	77.2	64.8	0.5	11	13	NaN	NaN	2.41
7_28_2012	28	7	28	2012	68.7	76.6	62.7	0.38	10	13	NaN	NaN	2.79
7_29_2012	29	7	29	2012	72.1	81	62.1	0	5	10	NaN	NaN	2.79
7_30_2012	30	7	30	2012	71.7	84.3	58.3	0	2	6	NaN	NaN	2.79
7_31_2012	31	7	31	2012	72.6	84.3	66.9	0.72	7	12	NaN	NaN	3.51
8_1_2012	32	8	1	2012	70.7	79.6	63.3	0	8	14	NaN	NaN	3.51
8_2_2012	33	8	2	2012	73.8	83.8	63.7	0	5	10	NaN	NaN	3.51
8_3_2012	34	8	3	2012	76.5	86.1	67.8	0	6	5	NaN	NaN	3.51
8_4_2012	35	8	4	2012	79.3	90.3	70.1	0	3	10	NaN	NaN	3.51
8_5_2012	36	8	5	2012	77.9	86	72.1	0.08	4	2	NaN	NaN	3.59
8_6_2012	37	8	6	2012	68.2	75.2	60.8	0	2	6	NaN	NaN	3.59
8_7_2012	38	8	7	2012	69.9	83.7	57.3	0	6	9	NaN	NaN	3.59
8_8_2012	39	8	8	2012	73.3	85.6	59.9	0	8	4	NaN	NaN	3.59
8_9_2012	40	8	9	2012	72.7	82.3	63.9	0.13	15	11	NaN	NaN	3.72
8_10_2012	41	8	10	2012	69.7	75.8	65.6	0.09	14	17	NaN	NaN	3.81
8_11_2012	42	8	11	2012	70.2	78.1	64.8	0.04	5	10	NaN	NaN	3.85
8_12_2012	43	8	12	2012	67.7	74.5	59.5	0.02	5	6	NaN	NaN	3.87
8_13_2012	44	8	13	2012	70.4	80.9	61.5	0	5	8	NaN	NaN	3.87
8_14_2012	45	8	14	2012	68	77.8	63.7	0.33	14	18	NaN	NaN	4.2
8_15_2012	46	8	15	2012	68.4	75.7	59.7	0	11	14	NaN	NaN	4.2
8_16_2012	47	8	16	2012	69.9	81	60.4	0	4	9	NaN	NaN	4.2
8_17_2012	48	8	17	2012	69.3	74.5	61.9	0	1	0	NaN	NaN	4.2
8_18_2012	49	8	18	2012	63.1	71.7	54.5	0	8	8	NaN	NaN	4.2
8_19_2012	50	8	19	2012	63.1	76.2	50.8	0	6	9	NaN	NaN	4.2
8_20_2012	51	8	20	2012	64.4	72.8	55.6	0.01	6	5	NaN	NaN	4.21
8_21_2012	52	8	21	2012	64.8	75.8	54.7	0	5	8	NaN	NaN	4.21
8_22_2012	53	8	22	2012	67	80.2	55.9	0	0	2	NaN	NaN	4.21
8_23_2012	54	8	23	2012	69.8	82.4	57.4	0	2	6	NaN	NaN	4.21
8_24_2012	55	8	24	2012	72.3	85.8	59.2	0	7	6	NaN	NaN	4.21
8_25_2012	56	8	25	2012	73.8	86.4	61.3	0	5	6	NaN	NaN	4.21
8_26_2012	57	8	26	2012	72.7	82.8	62.9	0	2	2	NaN	NaN	4.21
8_27_2012	58	8	27	2012	72.8	83.5	66.9	0.73	7	9	NaN	NaN	4.94
8_28_2012	59	8	28	2012	70.4	76.6	64.3	0.16	8	10	NaN	NaN	5.1
8_29_2012	60	8	29	2012	62.3	72	53.9	0	8	9	NaN	NaN	5.1
8_30_2012	61	8	30	2012	66.7	82.3	54.4	0	0	0	NaN	NaN	5.1
8_31_2012	62	8	31	2012	75.7	91.4	60.1	0	0	0	NaN	NaN	5.1
9_1_2012	63	9	1	2012	72.1	81.2	60.8	0	0	0	NaN	NaN	5.1
9_2_2012	64	9	2	2012	69.2	82.6	56.5	0	6	8	NaN	NaN	5.1
9_3_2012	65	9	3	2012	69	77.1	59.1	0	3	11	NaN	NaN	5.1
9_4_2012	66	9	4	2012	73	80.9	68.8	0.34	10	16	NaN	NaN	5.44
9_5_2012	67	9	5	2012	70.3	79	64.7	0.02	9	14	NaN	NaN	5.46
9_6_2012	68	9	6	2012	73	83.6	66.2	0	4	11	NaN	NaN	5.46
9_7_2012	69	9	7	2012	72	80.8	62.5	0	7	10	NaN	NaN	5.46
9_8_2012	70	9	8	2012	67.5	75	56.5	0.45	9	9	NaN	NaN	5.91
9_9_2012	71	9	9	2012	59.3	66.6	53.9	0	9	9	NaN	NaN	5.91
9_10_2012	72	9	10	2012	57.6	65	51.1	0	1	3	NaN	NaN	5.91
9_11_2012	73	9	11	2012	61.3	74.5	49.3	0	0	0	NaN	NaN	5.91
9_12_2012	74	9	12	2012	66.4	80.2	54.5	0	0	0	NaN	NaN	5.91
9_13_2012	75	9	13	2012	70.3	83.7	58.5	0	0	2	NaN	NaN	5.91
9_14_2012	76	9	14	2012	67.6	82.2	56.8	0.51	8	11	NaN	NaN	6.42
9_15_2012	77	9	15	2012	57.6	63.6	52.4	0	6	11	NaN	NaN	6.42
9_16_2012	78	9	16	2012	59.1	70.1	51	0	3	10	NaN	NaN	6.42
9_17_2012	79	9	17	2012	62.9	74.9	51.1	0	7	9	NaN	NaN	6.42
9_18_2012	80	9	18	2012	63.3	71.1	54.3	0.91	12	14	NaN	NaN	7.33
9_19_2012	81	9	19	2012	52.2	58.1	46.1	0	7	8	NaN	NaN	7.33
9_20_2012	82	9	20	2012	56.4	69.3	44.4	0	8	9	NaN	NaN	7.33
9_21_2012	83	9	21	2012	62.4	71.9	55.6	0	7	3	NaN	NaN	7.33
9_22_2012	84	9	22	2012	60.2	64.8	54.1	0.12	9	12	NaN	NaN	7.45
9_23_2012	85	9	23	2012	52.3	60.3	47.1	0.04	2	3	NaN	NaN	7.49
9_24_2012	86	9	24	2012	51	60.7	42	0	2	2	NaN	NaN	7.49
9_25_2012	87	9	25	2012	58.4	71.2	46.2	0.04	2	0	NaN	NaN	7.53
9_26_2012	88	9	26	2012	61.4	68	55.8	0.06	10	16	NaN	NaN	7.59
9_27_2012	89	9	27	2012	55.1	63.4	48.3	0	0	0	NaN	NaN	7.59
9_28_2012	90	9	28	2012	49.4	53.4	44.6	0.11	20	24	NaN	NaN	7.7
9_29_2012	91	9	29	2012	53.7	61	46.8	0	1	7	NaN	NaN	7.7
9_30_2012	92	9	30	2012	50.1	53.3	45.6	0.66	18	24	NaN	NaN	8.36
7_1_2014	1	7	1	2014	79	86.9	70	0.01	1	5	5.9	1372	0.01
7_2_2014	2	7	2	2014	75	83.9	67.7	0.1	6	5	3.6	1181	0.11
7_3_2014	3	7	3	2014	68.9	75.6	62.9	0.03	7	11	2.5	892	0.14
7_4_2014	4	7	4	2014	63.1	70.5	57.9	0.02	3	6	7.8	1139	0.16
7_5_2014	5	7	5	2014	66.7	76.4	56	0	0	0	6.6	1050	0.16
7_6_2014	6	7	6	2014	70.4	81.3	59.6	0	0	0	5.2	1280	0.16
