vine	year	px2_cm2	vine_year	species	from_tip	from_base	count	tip_vine	base_vine	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21
237621	2013	13948.005	237621x2013	Vitis_aestivalis	1	15	15	1x237621	15x237621	3365.5	370	3361.125	368.5	3359.875	361.875	3366.375	353.125	3347.5	383.75	3354.5	383.5	3348.312	377.312	3327.625	366.375	3335.875	368.5	3331.25	359.5	3328.333	332	3332.333	338.667	3338.667	330.833	3320	428.833	3271.667	408.333	3284	401.333	3253.667	390	3187	329.667	3253	336	3224.5	315	3143	232
237621	2013	13948.005	237621x2013	Vitis_aestivalis	2	14	15	2x237621	14x237621	3303	801.75	3295.25	798.25	3294	791	3302.25	781	3283.125	826.125	3289.125	822.625	3283.125	817	3246.75	808.083	3251.667	809.25	3248.083	803.417	3238.167	766.667	3240.333	770.5	3245.333	760.25	3277	864.5	3205.75	889.25	3207.75	872.5	3163.25	878.5	3086.667	830	3135.25	804.25	3093.333	794.333	3009	617.25
237621	2013	13948.005	237621x2013	Vitis_aestivalis	3	13	15	3x237621	13x237621	3256.667	1306.333	3251	1304.667	3244	1297	3244	1282	3248.333	1346.667	3253	1343	3245.667	1342.667	3175.167	1351.833	3182.167	1350.333	3176	1342.833	3148.333	1276.708	3154.5	1281	3152.875	1268.375	3255	1489	3122	1504	3139	1472	3081	1475	2909	1396	2995	1364	2936	1333.333	2725.333	1160
237621	2013	13948.005	237621x2013	Vitis_aestivalis	4	12	15	4x237621	12x237621	3167.333	2251.167	3161.333	2244.833	3163.5	2233.667	3178.333	2227.333	3101.583	2288.25	3108.625	2284.625	3103.167	2280.042	3038.667	2226	3040.5	2230.5	3040.417	2219.417	3070	2109.667	3072.833	2115.167	3079.167	2106.5	2986	2469	2820.667	2375.667	2859.333	2351.667	2756.5	2296.5	2640	2098	2771	2083.5	2703	1990	2604	1613
237621	2013	13948.005	237621x2013	Vitis_aestivalis	5	11	15	5x237621	11x237621	3080.667	3368.333	3072.667	3362.333	3080.667	3349	3091.333	3336.333	2991	3454.75	2999	3452.167	2990	3448	2894.417	3351.417	2899.833	3355.167	2896.083	3344.333	2924.167	3159.167	2926.833	3166.333	2936	3156	2915	3751	2564.5	3651.75	2611.5	3602.25	2407.167	3481.667	2210.667	3062.333	2425	3073	2413	2881	2464	2428
237621	2013	13948.005	237621x2013	Vitis_aestivalis	6	10	15	6x237621	10x237621	2037.5	4450.75	2029.25	4438.25	2035.5	4424.25	2052	4413.5	1942.5	4514.667	1951.833	4513.333	1940.667	4506.833	1777	4381	1785	4385	1784.5	4373.5	1849.667	4167	1855	4176.667	1863.333	4165	1799	4885	1450	4677	1480	4621	1292	4489	1160.5	4069.5	1324.25	4083.25	1237.333	3922	1148.25	3377.75
237621	2013	13948.005	237621x2013	Vitis_aestivalis	7	9	15	7x237621	9x237621	1720.75	2652.25	1703	2647.5	1700.5	2634	1708.25	2612.25	1674.167	2760.833	1685.833	2753	1666.833	2750	1394	2744.25	1403.667	2746.333	1394.5	2732	1296.375	2471.125	1299.5	2476.75	1304	2461.5	1678	3222	1189	3184.5	1201	3109.5	977	3079	559	2810	942	2647	612	2541.5	281.667	1985
237621	2013	13948.005	237621x2013	Vitis_aestivalis	8	8	15	8x237621	8x237621	2063.5	927.75	2049.75	921.75	2048	901	2052.25	880	2049.833	1073.167	2057.333	1066.667	2039.833	1062	1799.5	1106.625	1807.625	1100.625	1798.5	1097.125	1639	823	1646.667	825	1647.333	811.333	2248	1538	1688	1661.667	1690.667	1578.667	1473.667	1584	1004.333	1324	1164.333	1181.333	949.667	1102.667	468	636
237621	2013	13948.005	237621x2013	Vitis_aestivalis	9	7	15	9x237621	7x237621	3059.5	1063.333	3044.5	1053.833	3042	1036.833	3047	1013.333	3010	1202.333	3016.333	1196.333	3001.667	1195.333	2795.667	1181.167	2805.5	1181.5	2794.167	1170.333	2698.333	926	2700.667	933.333	2698.5	913.333	3121	1630.333	2650	1729.833	2644	1659.833	2327	1608.333	1906.333	1155.333	2388	1099.667	1966.5	881.833	1943	171
237621	2013	13948.005	237621x2013	Vitis_aestivalis	10	6	15	10x237621	6x237621	2736.333	2832.667	2723.667	2822	2705.667	2822.667	2693.667	2846.667	2795.75	2771.25	2793.75	2781.5	2786.75	2770	2689.5	2540.5	2698.5	2545.833	2681.167	2548	2446.333	2590	2455.333	2597	2438.333	2604.667	3266	2620	3085	2130.667	3013	2178.667	2983.333	2095.667	2420	1806	2438	2072	2252	1891	1628	2001
237621	2013	13948.005	237621x2013	Vitis_aestivalis	11	5	15	11x237621	5x237621	2894.5	4130.5	2880	4122	2879.5	4109.5	2891.5	4089	2831.25	4220.5	2841	4218.5	2827.75	4211.25	2664.167	4155.417	2670.75	4161.083	2666.667	4150.583	2607.25	3900.5	2613.75	3909.625	2620.5	3898.833	2728	4681.667	2290	4532.333	2342	4463	2135	4360	2106	4057	2208.333	3988	2111	3977	1874	3459
237621	2013	13948.005	237621x2013	Vitis_aestivalis	12	4	15	12x237621	4x237621	1239.667	1004.667	1219	1002	1214.333	988.667	1222.333	966.667	1203.667	1092	1211.667	1083	1198	1083	1057	1059	1069.333	1057.667	1060	1049	946.667	914.333	955	917.333	955.667	900.333	1226	1455	911	1458	901	1380	746	1402	407	1225	515	1102.333	362	1032	182	606
237621	2013	13948.005	237621x2013	Vitis_aestivalis	13	3	15	13x237621	3x237621	1071	2307.5	1056	2301.5	1057.5	2283.5	1071.5	2268	1018	2381.333	1024.667	2378.833	1010.833	2374.333	853.25	2328	864.5	2328.25	860.25	2317	794	2119	803.75	2128	806	2114	1003	2799.667	569	2706.333	593	2651.667	402.667	2589	208	2276	466	2187	316	2111	240.333	1777.333
237621	2013	13948.005	237621x2013	Vitis_aestivalis	14	2	15	14x237621	2x237621	1265	3498.5	1249	3497	1242	3484	1253	3462.5	1235.25	3608.5	1240.25	3600.875	1225.125	3598.125	1113.417	3568.917	1124.167	3565.917	1114.5	3558	1072.833	3397.667	1082.833	3406.333	1086.167	3392.5	1254	3931	952	3912	955	3847	784	3807.667	647	3558.333	707	3517	668	3440	590	3178
237621	2013	13948.005	237621x2013	Vitis_aestivalis	15	1	15	15x237621	1x237621	1004	4529.5	994	4525.5	995.5	4511.5	1004.5	4500.5	971.5	4602.333	978.333	4599.333	968.667	4596.167	863.75	4529.5	877	4533.25	874	4523.25	849.5	4396	856.625	4401.875	858.625	4393	950.667	4806.667	735	4730	740.667	4689	618	4614.333	548	4436	580	4414.5	527.5	4336	518.5	4143.25
255189	2013	13948.005	255189x2013	Vitis_riparia	1	15	15	1x255189	15x255189	3284.333	507	3285.667	494.333	3287	469.667	3305.667	491.667	3267.5	499.5	3275	504	3274	492	3279.333	460.667	3268	461.333	3270	471.333	3288.667	425.667	3288.333	439.333	3303.667	430.667	3196	533	3169	438	3185	441	3165	413	3177	291	3217	351	3219	313	3317	149
255189	2013	13948.005	255189x2013	Vitis_riparia	2	14	15	2x255189	14x255189	3207.333	1018.667	3203.625	1006.875	3211.75	995.375	3230.625	993	3181.938	1020.062	3189.875	1022.75	3183.188	1011.438	3160.438	967.438	3163.5	975.667	3169.688	965.562	3186.375	905.125	3184.75	911.875	3199	905	3083	1090	2981	981	3031	984	2982	931	3003	746	3057	826	3044	775.667	3064	563
255189	2013	13948.005	255189x2013	Vitis_riparia	3	13	15	3x255189	13x255189	3085.5	1825	3080.5	1811.5	3092.25	1801.5	3113.5	1798.75	3037.75	1831	3045	1834.125	3041.5	1821.375	3014.375	1755.25	3020	1764.125	3022.875	1749.75	3075.438	1678.312	3070.438	1685.625	3089.25	1674	2883	1951.333	2765	1764	2811	1763	2743	1699.5	2752.667	1428	2862	1514	2872	1424.667	3014.75	1121.75
255189	2013	13948.005	255189x2013	Vitis_riparia	4	12	15	4x255189	12x255189	2968.5	2765.875	2957.875	2757	2984	2748.667	3003.25	2739	2898.875	2789.375	2906.625	2789.125	2903.667	2777.333	2817.333	2689.417	2825.5	2695.833	2823.167	2680.75	2888.333	2557.667	2883.583	2566.417	2901.333	2554.417	2711	3002	2482.333	2788	2557.75	2782	2454.5	2698.75	2382	2358	2588.5	2405.5	2552	2339	2708	1913
255189	2013	13948.005	255189x2013	Vitis_riparia	5	11	15	5x255189	11x255189	2767	4194.667	2754.167	4180	2762	4158.833	2785.667	4147	2684	4262.167	2694.667	4260.333	2678	4249	2561.667	4120.167	2568.167	4127.5	2569	4112	2639	3938.167	2636	3946.917	2652.125	3925.25	2555	4618	2141.667	4385	2241	4345	2081	4270	1889	3784	2110.125	3817.25	2075	3661	2148	3117
255189	2013	13948.005	255189x2013	Vitis_riparia	6	10	15	6x255189	10x255189	1857	1308	1836	1297	1866	1265	1889	1240	1763.5	1396	1775	1393.5	1759	1384	1601.667	1259.667	1612	1267.333	1618.333	1249.667	1615	1009.333	1624.667	1020.333	1634	1007.667	1735	1866	1141	1692	1208	1630	960	1478	680	950	896	950	896	790	864	230
255189	2013	13948.005	255189x2013	Vitis_riparia	7	9	15	7x255189	9x255189	1268	3149	1256	3135	1268	3114	1296	3086	1173.667	3220.333	1193	3218	1168.667	3202.667	1001.75	3053.75	1018	3061.5	1016	3044	1034.5	2799	1046	2815	1055.5	2790	982	3792	400	3408	476	3353	334	3246	96	2642	312	2690	344	2514	304	1938
255189	2013	13948.005	255189x2013	Vitis_riparia	8	8	15	8x255189	8x255189	1839.667	1737	1830.333	1714.333	1855.667	1710.333	1886.333	1707.667	1698	1747.667	1714	1750.333	1711.333	1733	1630.5	1474.25	1633.75	1485.75	1647	1475	1867.667	1273.333	1867.333	1290.333	1883.333	1277.667	1251	2153	926	1450	1026	1442	954.333	1166	1155.333	491.333	1455	782	1527	523.333	2028	114
255189	2013	13948.005	255189x2013	Vitis_riparia	9	7	15	9x255189	7x255189	1902	3968	1897	3951	1918	3939	1950	3944	1761.75	3976	1778.75	3983.25	1777.75	3966.5	1711	3668.125	1715.875	3677.25	1726.375	3668.5	1950	3427.333	1948.667	3449.667	1965.667	3439.667	1280	4293	1055	3721.333	1189.667	3686.667	1103	3424	1205	2674	1529	2920	1565	2722	1926	2180
255189	2013	13948.005	255189x2013	Vitis_riparia	10	6	15	10x255189	6x255189	2632.333	1797.333	2629.667	1778	2649	1760.667	2680.333	1764	2537.667	1803.667	2551.333	1807.333	2545	1791	2376	1525	2382	1536	2396	1525	2612	1203	2612.667	1227	2631.667	1216	2028.667	2233.333	1632	1625	1909	1564	1641	1247.333	1929	505	2292	1047	2146.333	597.667	2547	90
255189	2013	13948.005	255189x2013	Vitis_riparia	11	5	15	11x255189	5x255189	2409	3964.5	2403	3947.5	2425	3935.5	2452.5	3941.5	2250	3944.333	2265.333	3947.667	2266.667	3935	2279.25	3714.5	2281	3724.5	2295	3719.5	2455.5	3482.167	2455	3497.167	2475.667	3488.833	1836	4239	1683	3699	1859	3683	1855	3415	1939	2844.333	2223	3249.667	2112	2934	2364	2538
255189	2013	13948.005	255189x2013	Vitis_riparia	12	4	15	12x255189	4x255189	970	1265.5	954.5	1255.5	998.5	1250.5	1023.5	1238.5	876	1316	894	1313.5	876	1304	765.5	1148.75	774.5	1157.75	783	1144	964.333	932.5	964	946	980	940.833	539	1657	170	1303	292.667	1260.333	164	1024	257	433	698	829	680	334	959	61
255189	2013	13948.005	255189x2013	Vitis_riparia	13	3	15	13x255189	3x255189	798.667	2350.667	802	2337.667	823.333	2336.667	847.667	2342	691.75	2342.25	703.5	2345.75	698.75	2335.25	760.25	2196.75	765.125	2205.875	773.625	2200.125	905	2083.5	900.833	2091.833	918.5	2085.333	374	2490	356	2181	483	2197.5	431	2121	458	1749	746	1930	712	1707	932	1536
255189	2013	13948.005	255189x2013	Vitis_riparia	14	2	15	14x255189	2x255189	860	3345.75	859.25	3329.25	881.25	3320.5	902.75	3317.5	762	3369.5	776.167	3370.333	765.167	3358.667	771.5	3246.167	779.167	3256.833	783.333	3242.167	867.125	3092.75	867.75	3106.125	881.125	3098.25	513.333	3525.333	377.333	3226.667	479	3234.5	409.333	3037	553.333	2770.333	694.667	2957	718	2780	874	2651
255189	2013	13948.005	255189x2013	Vitis_riparia	15	1	15	15x255189	1x255189	750.5	4166.5	745.25	4158.75	763.5	4150.75	783.75	4146	713	4185	719.833	4186.333	710.167	4177.333	676.875	4111.625	682	4117.375	686.375	4109.875	764.5	4025	764.25	4034.5	774.5	4029.75	566	4352	464	4155	510	4129	470.5	4059.5	538.5	3811	646	3899	660.5	3821.5	769	3715.5
271662	2013	13948.005	271662x2013	Vitis_rupestris	1	9	9	1x271662	9x271662	3171.25	487.75	3175.5	477.5	3187	471.5	3202	476	3147.5	472.75	3160.333	481	3159.167	470	3155	421.5	3158.5	431.375	3165	423.375	3200.312	395	3197.688	403.688	3213.438	394.562	3045.667	474	3043.375	381.875	3053.75	382.375	3050	342	3081.5	257	3115.5	279	3134	235	3232	113
271662	2013	13948.005	271662x2013	Vitis_rupestris	2	8	9	2x271662	8x271662	3188.5	1187.5	3182.75	1175.25	3193	1165.875	3210.875	1161.5	3137.167	1197.667	3149.167	1198.167	3142.833	1189.333	3129.833	1131.667	3134.917	1138.417	3140.417	1129.417	3172.125	1062	3173.875	1072	3184.375	1061.25	3038	1280	2935	1166	2971	1155	2921.667	1067	2972.333	872.333	3016.333	905.667	3039	851	3193.667	699
271662	2013	13948.005	271662x2013	Vitis_rupestris	3	7	9	3x271662	7x271662	2961.5	2058	2964.5	2040	2976.5	2028	2996.5	2031.5	2899.333	2043	2910.167	2048.833	2909.5	2035.5	2901.667	1945.333	2905.167	1954.833	2912	1946	3002.333	1887.667	3001.333	1899.5	3013.667	1896.333	2752	2135.333	2679	1920	2708.333	1918.667	2681.667	1828	2752.333	1654.667	2816.333	1674.667	2841.667	1609.333	2925	1434
271662	2013	13948.005	271662x2013	Vitis_rupestris	4	6	9	4x271662	6x271662	2939.333	3017	2940	3002.333	2947.333	2989.667	2970	2989	2848.333	3034.667	2866.667	3037	2856.333	3023.333	2820.75	2900.5	2833.75	2912.5	2838.25	2900.75	2950.5	2847	2947.75	2860.25	2964.75	2844.75	2642	3228	2454	2956	2503	2919.667	2478	2768	2658	2394	2722	2452.5	2835	2403	3153	2385
271662	2013	13948.005	271662x2013	Vitis_rupestris	5	5	9	5x271662	5x271662	2775.5	4087	2773	4075.5	2788	4068	2807.5	4067	2683	4073	2694	4078	2694	4066	2672.375	3979	2678.25	3988.75	2684.5	3979.625	2791.875	3928.625	2790.875	3941.75	2808.5	3933	2473	4192	2389	3984	2412.5	3967.5	2394.667	3887.333	2486.667	3654	2533	3689.333	2555	3624.667	2623	3442
