climate	trait	rmcorr	pval	corr_pvals	rmcorr_nas
0_prevTotalPre	x_lf_count	0.4391843	7.41E-31	5.93E-29	0.4391843
1_curTotalPre	x_lf_count	0.06452404	0.1070596	1	NA
2_preLfWet	x_lf_count	0.5373011	4.88E-48	3.90E-46	0.5373011
3_preLfWet	x_lf_count	0.1959739	7.91E-07	6.33E-05	0.1959739
4_prevMaxTemp	x_lf_count	-0.1605619	5.53E-05	0.004424	-0.1605619
5_curMaxTemp	x_lf_count	-0.290333	1.32E-13	1.06E-11	-0.290333
6_prevAvgTemp	x_lf_count	0.02238317	0.5764832	1	NA
7_curAvgTemp	x_lf_count	-0.4548106	3.11E-33	2.49E-31	-0.4548106
8_prevMinTemp	x_lf_count	0.2419379	8.92E-10	7.14E-08	0.2419379
9_curMinTemp	x_lf_count	-0.03202054	0.4242231	1	NA
0_prevTotalPre	x_sh_area	0.5073888	3.38E-42	2.70E-40	0.5073888
1_curTotalPre	x_sh_area	-0.09657355	0.01572861	1	NA
2_preLfWet	x_sh_area	0.3684844	1.56E-21	1.25E-19	0.3684844
3_preLfWet	x_sh_area	-0.01528844	0.7028559	1	NA
4_prevMaxTemp	x_sh_area	-0.2994272	2.06E-14	1.65E-12	-0.2994272
5_curMaxTemp	x_sh_area	-0.07588361	0.05795648	1	NA
6_prevAvgTemp	x_sh_area	-0.1559468	9.05E-05	0.00724	-0.1559468
7_curAvgTemp	x_sh_area	-0.3351624	7.14E-18	5.71E-16	-0.3351624
8_prevMinTemp	x_sh_area	0.03925943	0.3271361	1	NA
9_curMinTemp	x_sh_area	-0.22496	1.30E-08	1.04E-06	-0.22496
0_prevTotalPre	node1	-0.47454	2.04E-36	1.63E-34	-0.47454
1_curTotalPre	node1	-0.02589254	0.5181977	1	NA
2_preLfWet	node1	-0.1114854	0.005266616	0.42132928	NA
3_preLfWet	node1	-0.006752766	0.8662032	1	NA
4_prevMaxTemp	node1	0.4443722	1.24E-31	9.92E-30	0.4443722
5_curMaxTemp	node1	0.08933992	0.02551635	1	NA
6_prevAvgTemp	node1	0.3431752	1.03E-18	8.24E-17	0.3431752
7_curAvgTemp	node1	0.4256706	6.73E-29	5.38E-27	0.4256706
8_prevMinTemp	node1	0.1898572	1.75E-06	0.00014	0.1898572
9_curMinTemp	node1	0.315939	5.93E-16	4.74E-14	0.315939
0_prevTotalPre	node2	-0.5519996	8.44E-48	6.75E-46	-0.5519996
1_curTotalPre	node2	0.01698138	0.6824137	1	NA
2_preLfWet	node2	-0.1039958	0.01198972	0.9591776	NA
3_preLfWet	node2	0.0431949	0.2977803	1	NA
4_prevMaxTemp	node2	0.5221239	4.39E-42	3.51E-40	0.5221239
5_curMaxTemp	node2	0.04956297	0.2321325	1	NA
6_prevAvgTemp	node2	0.4145367	1.29E-25	1.03E-23	0.4145367
7_curAvgTemp	node2	0.4446196	1.20E-29	9.60E-28	0.4446196
8_prevMinTemp	node2	0.2448225	2.10E-09	1.68E-07	0.2448225
9_curMinTemp	node2	0.394025	4.30E-23	3.44E-21	0.394025
0_prevTotalPre	node3	-0.5992862	5.39E-59	4.31E-57	-0.5992862
1_curTotalPre	node3	0.000597875	0.9884182	1	NA
2_preLfWet	node3	-0.1504885	0.00023808	0.0190464	-0.1504885
3_preLfWet	node3	0.01770613	0.6672451	1	NA
4_prevMaxTemp	node3	0.5482294	9.50E-48	7.60E-46	0.5482294
5_curMaxTemp	node3	0.08527058	0.03806849	1	NA
6_prevAvgTemp	node3	0.4221428	5.53E-27	4.42E-25	0.4221428
7_curAvgTemp	node3	0.5030182	2.74E-39	2.19E-37	0.5030182
8_prevMinTemp	node3	0.2298737	1.54E-08	1.23E-06	0.2298737
9_curMinTemp	node3	0.4016764	2.32E-24	1.86E-22	0.4016764
0_prevTotalPre	node4	-0.5877909	2.14E-57	1.71E-55	-0.5877909
1_curTotalPre	node4	0.006592815	0.8715469	1	NA
2_preLfWet	node4	-0.2628853	5.27E-11	4.22E-09	-0.2628853
3_preLfWet	node4	-0.01806865	0.6576364	1	NA
4_prevMaxTemp	node4	0.4675281	3.96E-34	3.17E-32	0.4675281
5_curMaxTemp	node4	0.1229859	0.002463465	0.1970772	NA
6_prevAvgTemp	node4	0.3219677	4.92E-16	3.94E-14	0.3219677
7_curAvgTemp	node4	0.4919143	4.00E-38	3.20E-36	0.4919143
8_prevMinTemp	node4	0.1142781	0.004924285	0.3939428	NA
9_curMinTemp	node4	0.3289956	1.03E-16	8.24E-15	0.3289956
0_prevTotalPre	node5	-0.6431539	9.23E-71	7.38E-69	-0.6431539
1_curTotalPre	node5	0.03827329	0.351355	1	NA
2_preLfWet	node5	-0.3517018	9.15E-19	7.32E-17	-0.3517018
3_preLfWet	node5	-0.01476182	0.7193393	1	NA
4_prevMaxTemp	node5	0.4666015	1.68E-33	1.34E-31	0.4666015
5_curMaxTemp	node5	0.1303418	0.001441072	0.11528576	NA
6_prevAvgTemp	node5	0.2981716	1.11E-13	8.88E-12	0.2981716
7_curAvgTemp	node5	0.5083317	2.05E-40	1.64E-38	0.5083317
8_prevMinTemp	node5	0.06280498	0.1259505	1	NA
9_curMinTemp	node5	0.3307691	1.17E-16	9.36E-15	0.3307691
0_prevTotalPre	node6	-0.6340965	7.34E-63	5.87E-61	-0.6340965
1_curTotalPre	node6	0.08776394	0.04018026	1	NA
2_preLfWet	node6	-0.4382702	4.43E-27	3.54E-25	-0.4382702
3_preLfWet	node6	-0.002361756	0.9560504	1	NA
4_prevMaxTemp	node6	0.3945731	8.04E-22	6.43E-20	0.3945731
5_curMaxTemp	node6	0.1171451	0.006088501	0.48708008	NA
6_prevAvgTemp	node6	0.216041	3.37E-07	2.70E-05	0.216041
7_curAvgTemp	node6	0.4524961	5.78E-29	4.62E-27	0.4524961
8_prevMinTemp	node6	-0.02709524	0.5271446	1	NA
9_curMinTemp	node6	0.2857753	9.69E-12	7.75E-10	0.2857753
